4724,,,,,,,,,,,,,,,,385,424,578,568,,NATIONAL AVERAGE:,,"$8,259",382,140,29,3,2,91,33,18,72,121,7,8,13,8,1,36,6,12,20,1,50,10,
Name,Charter #,Peer Group,Metropolitan Statistical Area,City,Country,State / Prov,Region,$ Total Assets,Asset Class,# Members,$ Total Share Deposits,# Share Deposit Accounts,$ Total Loans,# Loan Accounts,% Loans to Shares,CDCU?,CDFI?,CDCU / CDFI,HPCU,$ Average Assets per Member,# Average Accounts per Member,$ Net Earnings per Member,$ Average Balance per Account,Target,Fall 2025    Target,Reached out to?,Sponsor,On Advisory Board,Invests in Curql?,Invests Directly in Startups?,Works with Early Startups?,MDC Owner?,Juntos Avanzamos?,Fintech Accel?,Purchasing Banks?,Merging?,CUs Unite?,Interim CEO?,New CEO?,Tech Forward?,Tech Curious?,We Have Connections?,Showed Coalition Interest?,Active Coalition Member Nearby?,Talked to Us Before?,Notes?
Navy FCU (Navy Federal CU),5536,6,Vienna,,USA,VA,Mid-Atlantic,"$178,025,662,227",Very Large,"13,575,728","$151,418,482,878","29,940,015","$125,522,360,267","7,931,695",82.9%,,,,,"$13,114",2.79,$31.76,"$7,313",,,,,,,,,,,,,,,,,,,,,,,
State Employees' CU (SECU) (NC),66310,6,Raleigh,,USA,NC,Southeast,"$55,872,490,853",Very Large,"2,802,254","$45,694,474,018","5,725,226","$33,875,055,086","1,157,306",74.1%,,,,,"$19,938",2.46,$23.46,"$11,561",,,,,,,,,,,,,,,,,,,,,,,
Pentagon FCU (PenFed CU),227,6,Mclean,,USA,VA,Mid-Atlantic,"$34,418,948,071",Very Large,"2,885,762","$29,290,572,908","4,184,834","$28,081,334,002","1,641,333",95.9%,,,,,"$11,927",2.02,$8.02,"$9,847",,,,,,,,,,,,,,,,,,,,,,,
SchoolsFirst FCU,24212,6,Santa Ana,,USA,CA,Western,"$30,601,566,887",Very Large,"1,391,901","$25,329,278,833","3,513,419","$19,220,167,010","1,023,719",75.9%,,,,Y,"$21,985",3.26,$21.33,"$9,819",,,,,,Y,Y,,Y,,,,,,,,,,,,,,
Boeing Employees CU (BECU),62604,6,Seattle,Tukwila,USA,WA,Cascadia,"$30,181,791,637",Very Large,"1,475,391","$25,141,767,337","3,245,077","$18,782,899,063","775,384",74.7%,,,,Y,"$20,457",2.73,$30.21,"$10,925",,,,,,,,,,,,,Y,,,,,,,,,,
Vancouver City Savings (Vancity),,,Vancouver,,Canada,BC,Cascadia,"C$28,542,325,591",Very Large,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
Servus CU,,,Edmonton,,Canada,AB,Cascadia,"C$27,637,256,000",Very Large,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
Meridian CU (Meridian),,,Toronto,,Canada,ON,Mid-Atlantic,"C$27,543,687,000",Very Large,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
Coast Capital Savings CU,,,Vancouver,Surrey,Canada,BC,Cascadia,"C$21,704,611,000",Very Large,,,,,,,,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,
